         4367970 function calls (4302457 primitive calls) in 316.216 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 argparse.py:1076(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1167(_ExtendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1178(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1233(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1253(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:154(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1565(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1599(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1619(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:200(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:657(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:668(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:679(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:696(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:729(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:749(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:758(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:849(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:884(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:907(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:924(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:941(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:979(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1222(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1235(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1245(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1278(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1304(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1336(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1341(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1351(StructuredVoidFormat)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1568(_guarded_repr_or_str)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1575(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:493(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:905(FloatingFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.000    0.000 asgd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asgd.py:9(ASGD)
        1    0.000    0.000    0.001    0.001 asn1.py:23(<module>)
        1    0.000    0.000    0.000    0.000 asn1.py:249(DerInteger)
        1    0.000    0.000    0.000    0.000 asn1.py:344(DerSequence)
        1    0.000    0.000    0.000    0.000 asn1.py:42(BytesIO_EOF)
        1    0.000    0.000    0.000    0.000 asn1.py:547(DerOctetString)
        1    0.000    0.000    0.000    0.000 asn1.py:592(DerNull)
        1    0.000    0.000    0.000    0.000 asn1.py:601(DerObjectId)
        1    0.000    0.000    0.000    0.000 asn1.py:701(DerBitString)
        1    0.000    0.000    0.000    0.000 asn1.py:74(DerObject)
        1    0.000    0.000    0.000    0.000 asn1.py:790(DerSetOf)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
       26    0.000    0.000    0.001    0.000 ast.py:30(parse)
        1    0.000    0.000    0.000    0.000 ast.py:347(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:405(NodeTransformer)
        1    0.000    0.000    0.000    0.000 ast.py:476(_ABC)
        1    0.000    0.000    0.000    0.000 ast.py:505(Num)
        1    0.000    0.000    0.000    0.000 ast.py:509(Str)
        1    0.000    0.000    0.000    0.000 ast.py:513(Bytes)
        1    0.000    0.000    0.000    0.000 ast.py:517(NameConstant)
        1    0.000    0.000    0.000    0.000 ast.py:520(Ellipsis)
        1    0.000    0.000    0.000    0.000 ast_transforms.py:10(<module>)
      209    0.000    0.000    0.001    0.000 ast_transforms.py:108(fix_atomic_specifiers)
      209    0.000    0.000    0.001    0.000 ast_transforms.py:140(_fix_atomic_specifiers_once)
        1    0.000    0.000    0.002    0.002 async_case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 async_case.py:8(IsolatedAsyncioTestCase)
        1    0.000    0.000    0.021    0.021 asyncio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asyncio.py:19(tqdm_asyncio)
        1    0.000    0.000    0.000    0.000 auth.py:100(HTTPProxyAuth)
        1    0.000    0.000    0.000    0.000 auth.py:108(HTTPDigestAuth)
        1    0.000    0.000    0.000    0.000 auth.py:3(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:72(AuthBase)
        1    0.000    0.000    0.000    0.000 auth.py:79(HTTPBasicAuth)
        1    0.000    0.000    0.022    0.022 auto.py:1(<module>)
        3    0.000    0.000    0.000    0.000 autocast_mode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 autocast_mode.py:13(autocast)
        1    0.000    0.000    0.000    0.000 autocast_mode.py:16(autocast)
        1    0.000    0.000    0.000    0.000 autocast_mode.py:4(autocast)
        1    0.000    0.000    0.000    0.000 autonotebook.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_registry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_registry.py:40(backend_registered)
        1    0.000    0.000    0.000    0.000 backend_registry.py:53(register_backend)
        1    0.000    0.000    0.000    0.000 backend_registry.py:71(<dictcomp>)
        1    0.000    0.000    0.000    0.000 backward_compatibility.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:5(<module>)
        1    0.000    0.000    0.016    0.016 base_events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_events.py:205(_SendfileFallbackProtocol)
        1    0.000    0.000    0.000    0.000 base_events.py:273(Server)
        1    0.000    0.000    0.000    0.000 base_events.py:384(BaseEventLoop)
        1    0.000    0.000    0.000    0.000 base_futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:10(BaseSubprocessTransport)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:255(WriteSubprocessPipeProto)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:281(ReadSubprocessPipeProto)
        1    0.000    0.000    0.000    0.000 base_tasks.py:1(<module>)
        2    0.000    0.000    0.001    0.000 batchnorm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 batchnorm.py:118(_BatchNorm)
        1    0.000    0.000    0.000    0.000 batchnorm.py:14(_NormBase)
        1    0.000    0.000    0.000    0.000 batchnorm.py:183(_LazyNormBase)
        1    0.000    0.000    0.000    0.000 batchnorm.py:230(BatchNorm1d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:303(LazyBatchNorm1d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:338(BatchNorm2d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:410(LazyBatchNorm2d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:443(BatchNorm3d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:45(BatchNorm2d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:516(LazyBatchNorm3d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:549(SyncBatchNorm)
        1    0.000    0.000    0.000    0.000 batchnorm.py:6(_BatchNorm)
        1    0.000    0.000    0.000    0.000 batchnorm.py:75(BatchNorm3d)
        1    0.000    0.000    0.002    0.002 bernoulli.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bernoulli.py:11(Bernoulli)
        1    0.000    0.000    0.000    0.000 beta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 beta.py:10(Beta)
        1    0.000    0.000    0.000    0.000 binomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 binomial.py:12(Binomial)
        1    0.000    0.000    0.004    0.004 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bn_relu.py:2(<module>)
        1    0.000    0.000    0.000    0.000 bn_relu.py:44(BNReLU3d)
        1    0.000    0.000    0.000    0.000 bn_relu.py:8(BNReLU2d)
        1    0.000    0.000    0.017    0.017 brotli.py:2(<module>)
        1    0.000    0.000    0.000    0.000 brotli.py:222(Compressor)
        1    0.000    0.000    0.000    0.000 brotli.py:25(BrotliEncoderMode)
        1    0.000    0.000    0.000    0.000 brotli.py:357(Decompressor)
        1    0.000    0.000    0.000    0.000 brotli.py:8(Error)
        1    0.000    0.000    0.000    0.000 bucketbatcher.py:144(MaxTokenBucketizerIterDataPipe)
        1    0.000    0.000    0.000    0.000 bucketbatcher.py:19(InBatchShufflerIterDataPipe)
        1    0.000    0.000    0.000    0.000 bucketbatcher.py:50(BucketBatcherIterDataPipe)
        1    0.000    0.000    0.000    0.000 bucketbatcher.py:7(<module>)
        1    0.000    0.000    0.005    0.005 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
        1    0.000    0.000    0.000    0.000 bz2fileloader.py:19(Bz2FileLoaderIterDataPipe)
        1    0.000    0.000    0.000    0.000 bz2fileloader.py:7(<module>)
        1    0.000    0.000    0.000    0.000 c_ast.py:1012(Typedef)
       28    0.000    0.000    0.000    0.000 c_ast.py:1014(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:1032(Typename)
        3    0.000    0.000    0.000    0.000 c_ast.py:1034(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:1052(UnaryOp)
        1    0.000    0.000    0.000    0.000 c_ast.py:1070(Union)
        1    0.000    0.000    0.000    0.000 c_ast.py:1089(While)
        1    0.000    0.000    0.000    0.000 c_ast.py:109(NodeVisitor)
        1    0.000    0.000    0.000    0.000 c_ast.py:1110(Pragma)
        1    0.000    0.000    0.000    0.000 c_ast.py:167(ArrayDecl)
        2    0.000    0.000    0.000    0.000 c_ast.py:169(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:189(ArrayRef)
        1    0.000    0.000    0.001    0.001 c_ast.py:19(<module>)
        1    0.000    0.000    0.000    0.000 c_ast.py:210(Assignment)
        1    0.000    0.000    0.000    0.000 c_ast.py:232(Alignas)
        1    0.000    0.000    0.000    0.000 c_ast.py:249(BinaryOp)
        1    0.000    0.000    0.000    0.000 c_ast.py:271(Break)
        1    0.000    0.000    0.000    0.000 c_ast.py:285(Case)
        1    0.000    0.000    0.000    0.000 c_ast.py:30(Node)
        1    0.000    0.000    0.000    0.000 c_ast.py:307(Cast)
        1    0.000    0.000    0.000    0.000 c_ast.py:328(Compound)
        1    0.000    0.000    0.000    0.000 c_ast.py:346(CompoundLiteral)
        1    0.000    0.000    0.000    0.000 c_ast.py:367(Constant)
        2    0.000    0.000    0.000    0.000 c_ast.py:369(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:384(Continue)
        1    0.000    0.000    0.000    0.000 c_ast.py:398(Decl)
      181    0.000    0.000    0.000    0.000 c_ast.py:400(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:428(DeclList)
        1    0.000    0.000    0.000    0.000 c_ast.py:446(Default)
        1    0.000    0.000    0.000    0.000 c_ast.py:464(DoWhile)
        1    0.000    0.000    0.000    0.000 c_ast.py:485(EllipsisParam)
        1    0.000    0.000    0.000    0.000 c_ast.py:499(EmptyStatement)
        1    0.000    0.000    0.000    0.000 c_ast.py:513(Enum)
        1    0.000    0.000    0.000    0.000 c_ast.py:531(Enumerator)
        1    0.000    0.000    0.000    0.000 c_ast.py:549(EnumeratorList)
        1    0.000    0.000    0.000    0.000 c_ast.py:567(ExprList)
        1    0.000    0.000    0.000    0.000 c_ast.py:585(FileAST)
        5    0.000    0.000    0.000    0.000 c_ast.py:587(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:603(For)
        1    0.000    0.000    0.000    0.000 c_ast.py:632(FuncCall)
        1    0.000    0.000    0.000    0.000 c_ast.py:653(FuncDecl)
       50    0.000    0.000    0.000    0.000 c_ast.py:655(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:674(FuncDef)
        1    0.000    0.000    0.000    0.000 c_ast.py:700(Goto)
        1    0.000    0.000    0.000    0.000 c_ast.py:716(ID)
        1    0.000    0.000    0.000    0.000 c_ast.py:732(IdentifierType)
      413    0.000    0.000    0.000    0.000 c_ast.py:734(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:748(If)
        1    0.000    0.000    0.000    0.000 c_ast.py:773(InitList)
        1    0.000    0.000    0.000    0.000 c_ast.py:791(Label)
        1    0.000    0.000    0.000    0.000 c_ast.py:809(NamedInitializer)
        1    0.000    0.000    0.000    0.000 c_ast.py:831(ParamList)
       50    0.000    0.000    0.000    0.000 c_ast.py:833(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:849(PtrDecl)
       20    0.000    0.000    0.000    0.000 c_ast.py:851(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:867(Return)
        1    0.000    0.000    0.000    0.000 c_ast.py:884(StaticAssert)
        1    0.000    0.000    0.000    0.000 c_ast.py:905(Struct)
        1    0.000    0.000    0.000    0.000 c_ast.py:907(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:924(StructRef)
        1    0.000    0.000    0.000    0.000 c_ast.py:946(Switch)
        1    0.000    0.000    0.000    0.000 c_ast.py:967(TernaryOp)
        1    0.000    0.000    0.000    0.000 c_ast.py:992(TypeDecl)
      212    0.000    0.000    0.000    0.000 c_ast.py:994(__init__)
        1    0.000    0.000    0.000    0.000 c_lexer.py:15(CLexer)
        1    0.000    0.000    0.000    0.000 c_lexer.py:24(__init__)
       10    0.000    0.000    0.000    0.000 c_lexer.py:289(t_PPHASH)
       10    0.000    0.000    0.000    0.000 c_lexer.py:303(t_ppline_FILENAME)
       10    0.000    0.000    0.000    0.000 c_lexer.py:310(t_ppline_LINE_NUMBER)
       10    0.000    0.000    0.000    0.000 c_lexer.py:319(t_ppline_NEWLINE)
       87    0.000    0.000    0.000    0.000 c_lexer.py:368(t_NEWLINE)
        1    0.000    0.000    0.000    0.000 c_lexer.py:440(t_LBRACE)
        1    0.000    0.000    0.000    0.000 c_lexer.py:444(t_RBRACE)
        2    0.000    0.000    0.000    0.000 c_lexer.py:481(t_INT_CONST_DEC)
      491    0.000    0.000    0.001    0.000 c_lexer.py:545(t_ID)
        1    0.000    0.000    0.017    0.017 c_lexer.py:57(build)
        5    0.000    0.000    0.000    0.000 c_lexer.py:67(reset_lineno)
        5    0.000    0.000    0.000    0.000 c_lexer.py:72(input)
      786    0.001    0.000    0.008    0.000 c_lexer.py:75(token)
        1    0.000    0.000    0.001    0.001 c_lexer.py:9(<module>)
        1    0.000    0.000    0.000    0.000 c_parser.py:1003(p_struct_or_union)
        3    0.000    0.000    0.000    0.000 c_parser.py:1011(p_struct_declaration_list)
        3    0.000    0.000    0.000    0.000 c_parser.py:1020(p_struct_declaration_1)
        3    0.000    0.000    0.000    0.000 c_parser.py:1068(p_struct_declarator_list)
        3    0.000    0.000    0.000    0.000 c_parser.py:1077(p_struct_declarator_1)
       81    0.000    0.000    0.000    0.000 c_parser.py:1143(p_declarator)
      192    0.000    0.000    0.000    0.000 c_parser.py:1149(p_xxx_declarator_1)
       17    0.000    0.000    0.000    0.000 c_parser.py:1155(p_xxx_declarator_2)
      209    0.000    0.000    0.002    0.000 c_parser.py:1161(p_direct_xxx_declarator_1)
        1    0.000    0.000    0.000    0.000 c_parser.py:1178(p_direct_xxx_declarator_3)
       50    0.000    0.000    0.000    0.000 c_parser.py:1227(p_direct_xxx_declarator_6)
       20    0.000    0.000    0.000    0.000 c_parser.py:1256(p_pointer)
       50    0.000    0.000    0.000    0.000 c_parser.py:1292(p_parameter_type_list)
        5    0.000    0.000    0.029    0.006 c_parser.py:130(parse)
      131    0.000    0.000    0.001    0.000 c_parser.py:1301(p_parameter_list)
      128    0.000    0.000    0.003    0.000 c_parser.py:1321(p_parameter_declaration_1)
        3    0.000    0.000    0.000    0.000 c_parser.py:1333(p_parameter_declaration_2)
        2    0.000    0.000    0.000    0.000 c_parser.py:1433(p_abstract_declarator_1)
        1    0.000    0.000    0.000    0.000 c_parser.py:1446(p_abstract_declarator_3)
        1    0.000    0.000    0.000    0.000 c_parser.py:1471(p_direct_abstract_declarator_3)
        1    0.000    0.000    0.000    0.000 c_parser.py:154(_push_scope)
        1    0.000    0.000    0.000    0.000 c_parser.py:157(_pop_scope)
       28    0.000    0.000    0.000    0.000 c_parser.py:161(_add_typedef_name)
      121    0.000    0.000    0.001    0.000 c_parser.py:1627(p_typedef_name)
        2    0.000    0.000    0.000    0.000 c_parser.py:1631(p_assignment_expression)
        2    0.000    0.000    0.000    0.000 c_parser.py:1664(p_conditional_expression)
        2    0.000    0.000    0.000    0.000 c_parser.py:1673(p_binary_expression)
        2    0.000    0.000    0.000    0.000 c_parser.py:1699(p_cast_expression_1)
        1    0.000    0.000    0.000    0.000 c_parser.py:17(CParser)
       50    0.000    0.000    0.000    0.000 c_parser.py:170(_add_identifier)
        2    0.000    0.000    0.000    0.000 c_parser.py:1707(p_unary_expression_1)
        2    0.000    0.000    0.000    0.000 c_parser.py:1738(p_postfix_expression_1)
        2    0.000    0.000    0.000    0.000 c_parser.py:1777(p_primary_expression_2)
      330    0.000    0.000    0.000    0.000 c_parser.py:180(_is_type_in_scope)
        2    0.000    0.000    0.000    0.000 c_parser.py:1827(p_constant_1)
        1    0.000    0.000    0.026    0.026 c_parser.py:19(__init__)
        1    0.000    0.000    0.000    0.000 c_parser.py:1910(p_brace_open)
        1    0.000    0.000    0.000    0.000 c_parser.py:1916(p_brace_close)
      101    0.000    0.000    0.000    0.000 c_parser.py:1922(p_empty)
        1    0.000    0.000    0.000    0.000 c_parser.py:193(_lex_on_lbrace_func)
        1    0.000    0.000    0.000    0.000 c_parser.py:196(_lex_on_rbrace_func)
      330    0.000    0.000    0.001    0.000 c_parser.py:199(_lex_type_lookup_func)
       50    0.000    0.000    0.000    0.000 c_parser.py:208(_get_yacc_lookahead_token)
       70    0.000    0.000    0.000    0.000 c_parser.py:249(_type_modify_decl)
      212    0.001    0.000    0.001    0.000 c_parser.py:299(_fix_decl_name_type)
      211    0.001    0.000    0.001    0.000 c_parser.py:339(<listcomp>)
      282    0.000    0.000    0.000    0.000 c_parser.py:343(_add_declaration_specifier)
      199    0.001    0.000    0.004    0.000 c_parser.py:368(_build_declarations)
        1    0.000    0.000    0.000    0.000 c_parser.py:474(_select_struct_union_class)
        5    0.000    0.000    0.000    0.000 c_parser.py:508(p_translation_unit_or_empty)
        5    0.000    0.000    0.000    0.000 c_parser.py:517(p_translation_unit_1)
       63    0.000    0.000    0.000    0.000 c_parser.py:523(p_translation_unit_2)
       68    0.000    0.000    0.000    0.000 c_parser.py:538(p_external_declaration_2)
       68    0.000    0.000    0.002    0.000 c_parser.py:693(p_decl_body)
       68    0.000    0.000    0.000    0.000 c_parser.py:754(p_declaration)
       61    0.000    0.000    0.000    0.000 c_parser.py:774(p_declaration_specifiers_no_type_1)
       18    0.000    0.000    0.000    0.000 c_parser.py:779(p_declaration_specifiers_no_type_2)
        1    0.000    0.000    0.000    0.000 c_parser.py:816(p_declaration_specifiers_4)
      120    0.000    0.000    0.000    0.000 c_parser.py:821(p_declaration_specifiers_5)
       79    0.000    0.000    0.000    0.000 c_parser.py:826(p_declaration_specifiers_6)
       18    0.000    0.000    0.000    0.000 c_parser.py:836(p_storage_class_specifier)
       81    0.000    0.000    0.001    0.000 c_parser.py:852(p_type_specifier_no_typeid)
      202    0.000    0.000    0.000    0.000 c_parser.py:868(p_type_specifier)
       61    0.000    0.000    0.000    0.000 c_parser.py:885(p_type_qualifier)
       78    0.000    0.000    0.000    0.000 c_parser.py:893(p_init_declarator_list)
        1    0.000    0.000    0.009    0.009 c_parser.py:9(<module>)
       78    0.000    0.000    0.000    0.000 c_parser.py:902(p_init_declarator)
        3    0.000    0.000    0.000    0.000 c_parser.py:932(p_specifier_qualifier_list_3)
        1    0.000    0.000    0.000    0.000 c_parser.py:966(p_struct_or_union_specifier_2)
        1    0.000    0.000    0.000    0.000 cacheholder.py:142(OnDiskCacheHolderIterDataPipe)
        1    0.000    0.000    0.000    0.000 cacheholder.py:16(InMemoryCacheHolderMapDataPipe)
        1    0.000    0.000    0.000    0.000 cacheholder.py:307(_FulfilledPromisesIterDataPipe)
        1    0.000    0.000    0.000    0.000 cacheholder.py:355(EndOnDiskCacheHolderIterDataPipe)
        1    0.000    0.000    0.000    0.000 cacheholder.py:47(InMemoryCacheHolderIterDataPipe)
        2    0.000    0.000    0.004    0.002 cacheholder.py:7(<module>)
        1    0.000    0.000    0.000    0.000 caching.py:1(<module>)
        1    0.000    0.000    0.000    0.000 caching.py:11(BaseCache)
        1    0.000    0.000    0.000    0.000 caching.py:118(ReadAheadCache)
        1    0.000    0.000    0.000    0.000 caching.py:160(FirstChunkCache)
        1    0.000    0.000    0.000    0.000 caching.py:191(BlockCache)
        1    0.000    0.000    0.000    0.000 caching.py:324(BytesCache)
        1    0.000    0.000    0.000    0.000 caching.py:411(AllBytes)
        1    0.000    0.000    0.000    0.000 caching.py:426(KnownPartsOfAFile)
        1    0.000    0.000    0.000    0.000 caching.py:44(MMapCache)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:154(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:160(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:410(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:589(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
        2    0.000    0.000    0.001    0.001 callable.py:1(<module>)
 4879/148    2.111    0.000  205.292    1.387 callable.py:114(__iter__)
      2/1    0.000    0.000    0.000    0.000 callable.py:118(__len__)
        1    0.000    0.000    0.000    0.000 callable.py:126(CollatorIterDataPipe)
        1    0.000    0.000    0.000    0.000 callable.py:15(BatchMapperIterDataPipe)
        1    0.000    0.000    0.000    0.000 callable.py:16(MapperIterDataPipe)
        1    0.000    0.000    0.000    0.000 callable.py:166(__init__)
        1    0.000    0.000    0.000    0.000 callable.py:18(MapperMapDataPipe)
        2    0.000    0.000    0.000    0.000 callable.py:57(__init__)
        1    0.000    0.000    0.000    0.000 callable.py:7(<module>)
     4877    0.017    0.000  156.390    0.032 callable.py:79(_apply_fn)
        1    0.000    0.000    0.000    0.000 callable.py:93(FlatMapperIterDataPipe)
        1    0.000    0.000    0.000    0.000 callbacks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 callbacks.py:1(Callback)
        1    0.000    0.000    0.000    0.000 callbacks.py:150(NoOpCallback)
        1    0.000    0.000    0.000    0.000 callbacks.py:159(DotPrinterCallback)
        1    0.000    0.000    0.000    0.000 callbacks.py:180(TqdmCallback)
        1    0.000    0.000    0.000    0.000 callbacks.py:22(__init__)
        1    0.000    0.000    0.001    0.001 case.py:1(<module>)
       10    0.000    0.000    0.000    0.000 case.py:1405(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1427(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:1485(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:157(_BaseTestCaseContext)
        1    0.000    0.000    0.000    0.000 case.py:166(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:208(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:245(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:26(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:302(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:321(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:34(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:365(_OrderedChainMap)
        1    0.000    0.000    0.000    0.000 case.py:375(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:39(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:45(_Outcome)
        1    0.000    0.000    0.000    0.000 categorical.py:1(<module>)
        1    0.000    0.000    0.000    0.000 categorical.py:8(Categorical)
        1    0.000    0.000    0.000    0.000 cauchy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cauchy.py:11(Cauchy)
        1    0.000    0.000    0.001    0.001 cd.py:1(<module>)
        1    0.000    0.000    0.001    0.001 certs.py:4(<module>)
        1    0.000    0.000    0.000    0.000 channelshuffle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 channelshuffle.py:7(ChannelShuffle)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1994(Chebyshev)
        1    0.000    0.000    0.000    0.000 chi2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chi2.py:5(Chi2)
        1    0.000    0.000    0.007    0.007 cli.py:1(<module>)
        1    0.000    0.000    0.087    0.087 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1372(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1430(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1435(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1438(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1441(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1446(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1449(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1452(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1466(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1469(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1472(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1475(ResponseNotReady)
